playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,IP,WHIP,K/9,BB/9,HR/9,KPct,PlayerName
lestejo01,2012,1,BOS,AL,9,14,33,33,3,0,0,616.0,216,110,25,68,166,0.273,4.82,2.0,6.0,4.0,0,876.0,0.0,117,5.0,7.0,,205.33,1.38,7.28,2.98,1.1,18.95,Jon Lester
lewisco01,2012,1,TEX,AL,6,6,16,16,2,0,0,315.0,99,40,16,14,93,0.245,3.43,0.0,2.0,6.0,0,427.0,0.0,48,1.0,2.0,,105.0,1.08,7.97,1.2,1.37,21.78,Colby Lewis
linceti01,2012,1,SFN,NL,10,15,33,33,0,0,0,558.0,183,107,23,90,190,0.256,5.18,3.0,17.0,4.0,2,825.0,0.0,111,11.0,6.0,,186.0,1.47,9.19,4.35,1.11,23.03,Tim Lincecum
liriafr01,2012,1,MIN,AL,3,10,22,17,0,0,0,300.0,89,59,12,55,109,0.239,5.31,4.0,6.0,4.0,1,440.0,2.0,63,2.0,7.0,,100.0,1.44,9.81,4.95,1.08,24.77,Francisco Liriano
lohseky01,2012,1,SLN,NL,16,3,33,33,0,0,0,633.0,192,67,19,38,143,0.239,2.86,1.0,1.0,4.0,0,864.0,0.0,74,11.0,7.0,,211.0,1.09,6.1,1.62,0.81,16.55,Kyle Lohse
lowede01,2012,1,CLE,AL,8,10,21,21,1,1,0,357.0,156,73,8,45,41,0.321,5.52,3.0,5.0,3.0,1,542.0,0.0,79,3.0,5.0,,119.0,1.69,3.1,3.4,0.61,7.56,Derek Lowe
lylesjo01,2012,1,HOU,NL,5,12,25,25,1,1,0,424.0,159,80,20,42,99,0.278,5.09,4.0,2.0,5.0,0,628.0,0.0,97,6.0,4.0,,141.33,1.42,6.3,2.67,1.27,15.76,Jordan Lyles
lynnla01,2012,1,SLN,NL,18,7,35,29,0,0,0,528.0,168,74,16,64,180,0.253,3.78,3.0,3.0,10.0,0,744.0,2.0,76,4.0,3.0,,176.0,1.32,9.2,3.27,0.82,24.19,Lance Lynn
maholpa01,2012,1,CHN,NL,9,6,21,20,0,0,0,361.0,115,50,12,34,81,0.256,3.74,2.0,4.0,10.0,0,503.0,0.0,51,5.0,4.0,,120.33,1.24,6.06,2.54,0.9,16.1,Paul Maholm
marcush01,2012,1,MIL,NL,7,4,21,21,0,0,0,372.0,116,51,16,41,109,0.245,3.7,2.0,3.0,4.0,2,527.0,0.0,57,6.0,2.0,,124.0,1.27,7.91,2.98,1.16,20.68,Shaun Marcum
