playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,IP,WHIP,K/9,BB/9,HR/9,KPct
dillati01,2012,1,MIL,NL,0,2,34,0,0,0,0,111.0,45,18,3,14,29,0.302,4.38,2.0,0.0,1.0,0,166.0,15.0,21,2.0,0.0,,37.0,1.59,7.05,3.41,0.73,17.47
dolisra01,2012,1,CHN,NL,2,4,34,0,0,0,4,114.0,40,27,5,23,24,0.278,6.39,1.0,1.0,3.0,0,173.0,15.0,29,2.0,1.0,,38.0,1.66,5.68,5.45,1.18,13.87
doolise01,2012,1,OAK,AL,2,1,44,0,0,0,1,142.0,40,16,3,11,60,0.227,3.04,1.0,0.0,0.0,0,191.0,7.0,18,2.0,2.0,,47.33,1.08,11.41,2.09,0.57,31.41
doteloc01,2012,1,DET,AL,5,3,57,0,0,0,1,174.0,50,23,3,12,62,0.23,3.57,4.0,2.0,1.0,0,234.0,15.0,23,2.0,2.0,,58.0,1.07,9.62,1.86,0.47,26.5
doubrfe01,2012,1,BOS,AL,11,10,29,29,0,0,0,483.0,162,87,24,71,167,0.259,4.86,0.0,5.0,5.0,0,709.0,0.0,95,1.0,6.0,,161.0,1.45,9.34,3.97,1.34,23.55
downssc01,2012,1,LAA,AL,1,1,57,0,0,0,9,137.0,43,16,3,17,32,0.246,3.15,2.0,1.0,0.0,0,194.0,11.0,17,0.0,2.0,,45.67,1.31,6.31,3.35,0.59,16.49
drabeky01,2012,1,TOR,AL,4,7,13,13,0,0,0,214.0,67,37,10,47,47,0.25,4.67,0.0,7.0,1.0,0,317.0,0.0,41,0.0,1.0,,71.33,1.6,5.93,5.93,1.26,14.83
duensbr01,2012,1,MIN,AL,4,12,55,11,0,0,0,327.0,126,62,10,27,69,0.288,5.12,3.0,5.0,2.0,0,472.0,8.0,71,2.0,3.0,,109.0,1.4,5.7,2.23,0.83,14.62
dunnmi01,2012,1,MIA,NL,0,3,60,0,0,0,1,132.0,49,24,3,29,47,0.283,4.91,8.0,2.0,0.0,0,208.0,8.0,31,2.0,4.0,,44.0,1.77,9.61,5.93,0.61,22.6
durbich01,2012,1,ATL,NL,4,1,76,0,0,0,1,183.0,52,21,9,28,49,0.231,3.1,3.0,1.0,0.0,0,257.0,19.0,25,2.0,2.0,,61.0,1.31,7.23,4.13,1.33,19.07
elbersc01,2012,1,LAN,NL,1,1,43,0,0,0,0,98.0,27,8,3,13,29,0.231,2.2,1.0,3.0,1.0,0,133.0,12.0,8,0.0,2.0,,32.67,1.22,7.99,3.58,0.83,21.8
eovalna01,2012,1,LAN,NL,1,6,10,10,0,0,0,169.0,63,26,5,20,34,0.289,4.15,2.0,1.0,0.0,0,241.0,0.0,27,0.0,3.0,,56.33,1.47,5.43,3.2,0.8,14.11
eovalna01,2012,2,MIA,NL,3,7,12,12,0,0,0,189.0,70,31,5,27,44,0.279,4.43,1.0,0.0,3.0,0,285.0,0.0,32,1.0,3.0,,63.0,1.54,6.29,3.86,0.71,15.44
eppleco01,2012,1,NYA,AL,1,2,59,0,0,0,0,138.0,46,17,3,17,32,0.266,3.33,2.0,2.0,0.0,0,194.0,14.0,19,4.0,0.0,,46.0,1.37,6.26,3.33,0.59,16.49
estrama01,2012,1,MIL,NL,5,7,29,23,0,0,0,415.0,129,56,18,29,143,0.247,3.64,0.0,4.0,0.0,1,562.0,0.0,62,7.0,3.0,,138.33,1.14,9.3,1.89,1.17,25.44
evelada01,2012,1,BAL,AL,0,1,14,2,0,0,0,97.0,32,17,3,13,18,0.256,4.73,3.0,0.0,5.0,0,145.0,6.0,18,0.0,2.0,,32.33,1.39,5.01,3.62,0.84,12.41
feldmsc01,2012,1,TEX,AL,6,11,29,21,0,0,0,371.0,139,70,14,32,96,0.279,5.09,2.0,2.0,1.0,1,536.0,5.0,79,0.0,5.0,,123.67,1.38,6.99,2.33,1.02,17.91
felizne01,2012,1,TEX,AL,3,1,8,7,1,0,0,128.0,28,15,5,23,37,0.187,3.16,0.0,0.0,2.0,0,175.0,0.0,15,0.0,0.0,,42.67,1.2,7.8,4.85,1.05,21.14
fienca01,2012,1,MIN,AL,2,1,35,0,0,0,0,105.0,25,8,3,9,32,0.195,2.06,4.0,0.0,1.0,0,141.0,7.0,9,1.0,2.0,,35.0,0.97,8.23,2.31,0.77,22.7
